phone_ownership,phone_ownership_response,phone_cost,state_phone,state_phone_response,brand_phone,brand_phone_response,gender,gender_response,age,ethnicity,education,education_response,employment_status,income,family_size,treatment,WTP,WTP_response,WTP_per,protest_flag,emotional_attachment
Bought outright,,699,Brand New,,"Other, please specify",OnePlus,Male,,25 - 34,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,gov,350.0,,0.501,False,7
Bought outright,,700,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,Not in employment,"Less than £10,000",None,cont,50.0,,0.071,False,11
Bought outright,,205,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,Prefer not to say,None,env,51.0,,0.249,False,10
Bought outright,,597,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,Not in employment,Not sure,3,gov,101.0,,0.169,False,13
Bought outright,,1000,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In full-time education,"£50,000 to £59,999",None,env,150.0,,0.15,False,14
Bought outright,,1008,Brand New,,Samsung (Galaxy),,Male,,55 - 64,White,Undergraduate degree,,In full-time employment,"£60,000 to £69,999",None,gov,100.0,,0.099,False,6
"Other, please specify",Old phone from family member ,501,"Other, please specify",Secondhand - family member ,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,Not sure,None,cont,151.0,,0.301,False,9
Bought outright,,382,Brand New,,"Other, please specify",OPPO,Male,,45 - 54,BAME,Undergraduate degree,,In full-time employment,"£100,000 to £149,999",2,gov,20.0,,0.052,False,12
Bought outright,,350,Brand New,,Apple (iPhone),,Male,,25 - 34,White,Undergraduate degree,,Not in employment,"£20,000 to £29,999",None,cont,50.0,,0.143,False,14
Bought outright,,521,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,env,50.0,,0.096,False,10
"Other, please specify",Bought outright but over 2 years interest free,1100,Brand New,,Apple (iPhone),,Male,,45 - 54,White,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",2,cont,50.0,,0.045,False,13
Bought outright,,680,Brand New,,Apple (iPhone),,Male,,55 - 64,White,Undergraduate degree,,In full-time employment,"£70,000 to £79,999",None,gov,200.0,,0.294,False,9
Bought outright,,650,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,Not in employment,Not sure,None,gov,30.0,,0.046,False,8
Bought outright,,351,Brand New,,Samsung (Galaxy),,Male,,18 - 24,BAME,Master's degree,,In full-time education,"Less than £10,000",None,env,102.0,,0.291,False,7
Bought outright,,601,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time employment,"£30,000 to £39,999",None,gov,100.0,,0.166,False,14
Bought outright,,993,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None,cont,156.0,,0.157,False,16
Bought outright,,320,Brand New,,"Other, please specify",Nokia,Male,,Over 65,White,Undergraduate degree,,Not in employment,"£40,000 to £49,999",None,env,40.0,,0.125,False,7
Bought outright,,253,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Male,,18 - 24,White,Master's degree,,In full-time education,"Less than £10,000",None,gov,105.0,,0.415,False,10
Bought outright,,482,Brand New,,Samsung (Galaxy),,Male,,18 - 24,BAME,Undergraduate degree,,In part-time employment,"Less than £10,000",None,env,71.0,,0.147,False,14
Bought outright,,568,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In part-time employment,"Less than £10,000",None,cont,200.0,,0.352,False,11
Bought outright,,800,Brand New,,Apple (iPhone),,Male,,18 - 24,BAME,Undergraduate degree,,In full-time education,"£20,000 to £29,999",None,env,201.0,,0.251,False,7
Bought outright,,199,Brand New,,"Other, please specify",Poco,Female,,45 - 54,White,Doctoral degree,,In full-time employment,Prefer not to say,3,gov,30.0,,0.151,False,11
Bought outright,,411,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Female,,18 - 24,BAME,Master's degree,,In full-time employment,"£30,000 to £39,999",None,gov,51.0,,0.124,False,13
Bought outright,,103,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Male,,55 - 64,White,Doctoral degree,,In full-time employment,"£50,000 to £59,999",1,env,52.0,,0.505,False,4
Bought outright,,315,Secondhand - Private Seller (eg. ebay),,Samsung (Galaxy),,Male,,55 - 64,White,Doctoral degree,,In full-time employment,"£60,000 to £69,999",None,cont,21.0,,0.067,False,4
Bought outright,,230,Brand New,,Samsung (Galaxy),,Female,,18 - 24,BAME,"Further education (16+, A-Levels, BTEC, etc.)",,Not in employment,"Less than £10,000",None,env,42.0,,0.183,False,9
Bought outright,,501,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Female,,55 - 64,White,Doctoral degree,,In full-time employment,"£70,000 to £79,999",3,gov,100.0,,0.2,False,10
"Other, please specify","Finance from Apple directly, pay monthly",830,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Master's degree,,In full-time education,"Less than £10,000",None,cont,103.0,,0.124,False,15
Bought outright,,605,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Master's degree,,In full-time education,"Less than £10,000",None,gov,51.0,,0.084,False,8
Bought on contract - fully paid,,1003,Brand New,,Apple (iPhone),,Male,,18 - 24,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,cont,252.0,,0.251,False,13
Bought outright,,800,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Female,,18 - 24,White,Master's degree,,Not in employment,"Less than £10,000",None,env,50.0,,0.062,False,9
Bought outright,,169,Brand New,,"Other, please specify",Xiaomi,Male,,25 - 34,White,Master's degree,,In full-time employment,"£20,000 to £29,999",None,cont,48.0,,0.284,False,10
Bought outright,,758,Brand New,,"Other, please specify",OnePlus,Male,,18 - 24,BAME,Undergraduate degree,,In full-time employment,Prefer not to say,None,gov,101.0,,0.133,False,10
Bought on contract - fully paid,,688,Secondhand - Manufacturer Refurbished (eg. Apple),,Samsung (Galaxy),,Non-binary / third gender,,Over 65,White,Primary school,,Not in employment,"£30,000 to £39,999",5 or more,env,13.0,,0.019,False,8
Bought on contract - fully paid,,208,Brand New,,"Other, please specify",Huwawei,Female,,25 - 34,White,Master's degree,,In full-time employment,"£30,000 to £39,999",None,cont,100.0,,0.481,False,15
Bought outright,,823,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None,env,100.0,,0.122,False,11
Bought outright,,310,Brand New,,Samsung (Galaxy),,Male,,45 - 54,White,Undergraduate degree,,In full-time employment,"£50,000 to £59,999",2,gov,0.0,Repairability is not a priority for me,0.0,False,8
Bought outright,,995,Brand New,,Apple (iPhone),,Female,,18 - 24,BAME,Undergraduate degree,,In full-time employment,"£50,000 to £59,999",None,cont,59.0,,0.059,False,11
"Other, please specify",,245,Brand New,,Samsung (Galaxy),,Male,,55 - 64,White,Doctoral degree,,In full-time employment,"£50,000 to £59,999",2,env,100.0,,0.408,False,5
Bought outright,,303,Brand New,,Apple (iPhone),,Female,,18 - 24,White,Undergraduate degree,,In full-time education,"Less than £10,000",None,gov,103.0,,0.34,False,13
Bought on contract - fully paid,,900,Brand New,,Apple (iPhone),,Male,,18 - 24,Prefer not to say,Undergraduate degree,,Not in employment,Prefer not to say,None,env,177.0,,0.197,False,12
